company,url
デジタル庁,https://www.digital.go.jp/news?category=148
メルカリ,https://careers.mercari.com/new-graduates/
カカクコム,https://kakaku.com/info/recruit/job/graduate.html
LayerX,https://newgrads.layerx.co.jp/
グラファー,https://graffer.jp/recruit
セブン銀行,https://job.mynavi.jp/26/pc/search/corp88117/outline.html
楽天銀行,https://mypage.3030.i-webs.jp/rakuten-bank2026/
PayPay,https://about.paypay.ne.jp/career/
note,https://note.jp/n/nc0fe1a230633
BASE,https://www.basenet.co.jp/recruit/
SmartHR,https://smarthr.co.jp/news/press/26642/
M3,https://jobs.m3.com/fresh/
